WKT,id,id2,sportpark,sportparkFunctioneleNaam,objecttype,objectsubtype,veldindeling,sportfunctie,jaarVanActiviteit,soortOndergrond,oppervlakte,omtrek
"MULTIPOLYGON (((4.80606178197568 52.3374838623461,4.80601962417283 52.3374598621949,4.80601365746277 52.3374606417736,4.80600760253597 52.3374610998407,4.80600150547424 52.3374612329101,4.80599541268003 52.3374610399691,4.8059893705233 52.3374605224861,4.80598342498866 52.3374596843994,4.80597762132534 52.3374585320875,4.80597200370281 52.3374570743202,4.80596661487469 52.3374553221919,4.80596149585326 52.3374532890373,4.80595668559744 52.3374509903303,4.80595222071621 52.3374484435653,4.80594813519002 52.3374456681247,4.80594446011218 52.3374426851314,4.80594122345219 52.3374395172878,4.80593844984297 52.3374361887031,4.80593616039324 52.33743272471,4.80593437252702 52.3374291516715,4.80593309985095 52.3374254967806,4.80593235205075 52.3374217878532,4.80593213481745 52.3374180531167,4.80593244980424 52.3374143209945,4.80593329461371 52.3374106198903,4.80593466281625 52.3374069779718,4.80543644946408 52.3371043319131,4.80531705043357 52.3370418447749,4.80524387910972 52.3370414849391,4.80520189906361 52.3370540853829,4.80509813138085 52.3371282819449,4.80416558501934 52.3377268685067,4.80492155612188 52.3381759185199,4.80606178197568 52.3374838623461)))","316002",{B41810FF-D418-4E23-936B-C1705472D5CB},Sportpark Sloten,Sportpark Sloten 02,Sportveld (begroeid),Gras- en kruidachtigen,SPW-SLO-09,Voetbal,2018,Gras,8019.99018,364.7036
"MULTIPOLYGON (((4.85525794408881 52.3314279888692,4.85550227495716 52.3314334499993,4.85552294100443 52.3311042476225,4.85527778243326 52.331098461074,4.85525794408881 52.3314279888692)))","349795",{41B7C69F-7999-4983-BE54-77165B1E914B},Sportpark Amstel (Tennispark),Sportpark Amstel (Tennispark),Sportveld (verhard),Halfverharding,SPZ-AMSTEL-07,Tennis,0,Gravel,612.23839,106.73482
"MULTIPOLYGON (((5.032772654303 52.3160171711231,5.03422486700647 52.3163791991821,5.03462188212703 52.3157887439202,5.03316700732267 52.3154252841463,5.032772654303 52.3160171711231)))","407970",{B9CD1A67-54BA-40ED-90F1-ABCF3C9E4E10},Sportpark Papelaan,Sportpark Papelaan 02,Sportveld (verhard),Kunststofverharding,SPO-W-PAPE-06,Voetbal,0,Kunstgras - TPE,7608.28345,356.22266
"MULTIPOLYGON (((4.98013278921332 52.3560554858222,4.98067340318375 52.3569890794604,4.98170084203343 52.3567674076213,4.98116018296735 52.3558334680062,4.98013278921332 52.3560554858222)))","424454",{C8019890-996B-4F2A-8F7F-E6D836CFDB1E},Sportpark IJburg,Sportpark IJburg,Sportveld (verhard),Kunststofverharding,SPO-IJBU-03,Voetbal,2012,Kunstgras — rubber,8181.13631,368.89829
"MULTIPOLYGON (((4.8588807983484 52.3291861342927,4.85888196984664 52.3290307969419,4.85873451168432 52.3290303721081,4.85856450634196 52.3290298912942,4.85835078576267 52.3290292867545,4.85834899838013 52.3291847895767,4.8588807983484 52.3291861342927)))","439383",{CAAFF5E1-0506-4013-8CD6-A232C18AC17E},Sportpark Buitenveldert West,Sportpark Buitenveldert West,Sportveld (verhard),Halfverharding,SPZ-BUWE-07,Tennis,0,Gravel,626.55702,107.04821
"MULTIPOLYGON (((4.93576277445838 52.3897047998128,4.93551779449835 52.3897445185131,4.93565716125688 52.3900645070566,4.93590254820545 52.3900242793988,4.93576277445838 52.3897047998128)))","440589",{CA55217B-02EC-441B-8E89-50013E2A22D9},Sportpark W.H. Vliegenbos,Sportpark W.H. Vliegenbos,Sportveld (verhard),Kunststofverharding,SPN-VLIE-06,Tennis,2009,Kunstgras — keramisch zand (smashcourt),636.03814,108.1911
"MULTIPOLYGON (((4.95356602678693 52.3590463875032,4.95383938938907 52.3590372469979,4.95380739899748 52.3587075227319,4.95353495290887 52.3587170632064,4.95356602678693 52.3590463875032)))","453863",{15B77372-90BB-4AEF-B060-C8652819AC45},Sportpark Valentijnkade (Tie Breakers),Sportpark Valentijnkade (Tie Breakers),Sportveld (verhard),Halfverharding,SPO-VALE-01,Tennis,2017,Gravel,683.85528,110.69454
"MULTIPOLYGON (((4.95260288277406 52.3471125409316,4.95272953053303 52.347035127272,4.95274371046845 52.3470438165218,4.95333819181166 52.3466784621938,4.95332367636565 52.346669565067,4.95343637545294 52.346601590553,4.95354448012313 52.3466673813446,4.95357640698934 52.3466428168793,4.95360464508264 52.346616612856,4.95362897120331 52.3465889764029,4.95365053007207 52.3465579353106,4.95366715446535 52.3465257760869,4.95367869270473 52.3464927921689,4.95367881484574 52.3464923072792,4.95368485603083 52.3464608057666,4.95368628534917 52.3464290998171,4.95368309141762 52.3463974421576,4.95367529970463 52.3463660851296,4.9536629723271 52.3463352786778,4.95364644455171 52.3463056384643,4.95362571828273 52.3462770049493,4.95360095462338 52.3462496006874,4.95357234605653 52.3462236386781,4.95354011494844 52.3461993207109,4.95317710467966 52.346422368634,4.95312733002459 52.3463918076002,4.95314286592447 52.3463818792147,4.95283303221764 52.3461929620794,4.95262411015519 52.3463218790424,4.95262072366352 52.3463244576317,4.95261775728411 52.3463272235195,4.95261523845204 52.3463301511249,4.95261350606768 52.3463326819744,4.95261210850909 52.3463352893216,4.95261105466545 52.3463379565825,4.95261035123975 52.3463406667921,4.95260831429265 52.3463553542405,4.95260651221539 52.3463585340154,4.95260440517969 52.3463616426889,4.95260200061304 52.3463646693025,4.9525992796795 52.3463676309532,4.95259627387664 52.3463704874388,4.95259299400522 52.3463732284951,4.95230082002733 52.3465525658765,4.95229711672684 52.3465545095189,4.95229312515992 52.3465562258526,4.95228888238821 52.3465576989416,4.95228505908679 52.3465587616481,4.95228110511861 52.3465596266334,4.95227704769186 52.3465602879452,4.95227291472659 52.3465607410329,4.9522492696651 52.3465624876407,4.95224406711631 52.3465630225952,4.9522389668552 52.3465638480843,4.95223401204535 52.3465649571218,4.95222990458049 52.3465661289024,4.95222596101123 52.3465674956396,4.95222220596084 52.3465690487998,4.95221866287542 52.3465707786851,4.95202970489372 52.346686843619,4.95203589425322 52.3466902277831,4.95208524600914 52.3466755525116,4.95214406892541 52.3466633297299,4.95218873993514 52.346741417473,4.95212957358271 52.3467542322042,4.95206917819348 52.3467621710418,4.95205120772411 52.3467733935558,4.95213832375171 52.3468272626508,4.95209804067273 52.3468525048923,4.95220644046624 52.346917992409,4.95224730773839 52.3468930398848,4.9522971522903 52.3469239520639,4.95225650646862 52.3469487706031,4.95241124657566 52.3470434046222,4.95244984688853 52.3470191537314,4.95260288277406 52.3471125409316),(4.95342619603352 52.3464913817463,4.95347346298257 52.3465022593393,4.95350189150234 52.3465381436329,4.95348254840923 52.3465697365007,4.95343761265988 52.3465891201285,4.95337368063809 52.3465955816715,4.95331875950622 52.3465254648657,4.95336671847969 52.3465000705898,4.95342088070559 52.3464901579117,4.95342619603352 52.3464913817463),(4.95342540297468 52.3462991943655,4.95342591493071 52.3462981885645,4.95342656742806 52.3462972137541,4.95342735554708 52.3462962772842,4.95342827334557 52.3462953862155,4.95342931390361 52.3462945472663,4.95343046937567 52.3462937667622,4.95343173104984 52.3462930505878,4.95343308941347 52.3462924041429,4.95343453422489 52.3462918323016,4.95343605459065 52.3462913393751,4.95343763904766 52.3462909290803,4.95343927564955 52.3462906045106,4.95344095205686 52.346290368113,4.95344265562998 52.34629022167,4.95344437352444 52.3462901662858,4.95344609278786 52.3462902023777,4.9534478004575 52.3462903296739,4.95344948365806 52.3462905472145,4.95345112969867 52.3462908533592,4.95345272616869 52.3462912457999,4.95345426103122 52.3462917215777,4.95345572271384 52.3462922771053,4.9534571001959 52.3462929081942,4.9534583830916 52.3462936100863,4.95345956172828 52.3462943774894,4.95346062721933 52.3462952046176,4.9534615715313 52.3462960852346,4.95346238754434 52.3462970127007,4.95346306910592 52.3462979800232,4.95346361107728 52.3462989799087,4.95346400937212 52.3463000048183,4.95346426098737 52.3463010470247,4.95346436402592 52.3463020986698,4.9534643177109 52.3463031518244,4.95346412239149 52.3463041985483,4.95346377954032 52.3463052309494,4.95346328444288 52.3463062542313,4.95346264442893 52.3463072469093,4.9534618644505 52.3463082013025,4.9534609505426 52.3463091100264,4.95345990977648 52.3463099660498,4.95345875020496 52.3463107627495,4.95345748080013 52.3463114939608,4.95345611138386 52.3463121540262,4.95345465255186 52.3463127378386,4.95345311559174 52.3463132408805,4.95345151239554 52.34631365926,4.95344985536786 52.3463139897398,4.95344815732978 52.3463142297628,4.95344643141973 52.3463143774719,4.95344469099174 52.3463144317241,4.95344294951224 52.3463143920998,4.95344122045574 52.3463142589055,4.95343951720067 52.3463140331718,4.95343785292577 52.3463137166452,4.95343624050826 52.346313311775,4.95343469242401 52.3463128216936,4.95343322065121 52.3463122501931,4.95343183657755 52.3463116016955,4.95343055091214 52.3463108812183,4.95342937360272 52.3463100943362,4.95342831375859 52.3463092471377,4.95342737958017 52.3463083461779,4.95342657829559 52.3463073984278,4.95342591610469 52.3463064112205,4.95342539813109 52.3463053921946,4.95342502838256 52.3463043492345,4.95342480971998 52.3463032904103,4.95342474383521 52.3463022239141,4.95342483123803 52.3463011579982,4.95342507125214 52.3463001009098,4.95342540297468 52.3462991943655)))","473960",{5C85A9EF-9AD0-475F-95D3-404687746035},Sportpark Middenmeer-Voorland,Sportpark Middenmeer-Voorland 04,Sportveld (begroeid),Gras- en kruidachtigen,SPO-MIDD-33,Atletiek,2011,Gras,5916.73919,442.74118
"MULTIPOLYGON (((4.88499466098229 52.3180087282467,4.88498875452813 52.3180095044223,4.88498298093826 52.3180105931111,4.88497738415307 52.3180119860277,4.88497200676741 52.3180136725711,4.88496688970634 52.3180156399057,4.88496207191373 52.318017873059,4.88495759005585 52.3180203550354,4.88495347824233 52.3180230669454,4.88494976776658 52.31802598815,4.88494648686756 52.3180290964171,4.88494366051499 52.3180323680908,4.88494131021916 52.3180357782718,4.88493945386733 52.3180393010066,4.88493382547534 52.3180445290242,4.88492025602129 52.3180457494337,4.88490148032677 52.3180463087257,4.88487485553683 52.3180493907295,4.88485601842782 52.3180553813446,4.88484237671651 52.3180629915455,4.88482348901915 52.3180734550157,4.88481348949874 52.3180817196907,4.88480816764541 52.3180912822512,4.88480283856401 52.3181014837915,4.88480169109612 52.3181107445738,4.88480319371862 52.3181161825461,4.88480884182981 52.3181238746606,4.88481709306718 52.3181318973348,4.88482953315094 52.3181383402696,4.88484043448397 52.3181425401315,4.88485971350505 52.3181435805131,4.8848779787307 52.318142060544,4.88488895231457 52.3181398706012,4.88490620735204 52.3181354707903,4.88492347683415 52.3181297930168,4.88493552922677 52.3181244125964,4.88494915649372 52.3181180803449,4.88496174467419 52.3181114241752,4.884975918562 52.3181028577038,4.88498589277605 52.3180968294451,4.88499271362523 52.3180930243366,4.88499969969692 52.3180928129395,4.88500573271703 52.3180930000271,4.88501176938756 52.3180928641759,4.88501776376565 52.3180924064199,4.88502367023036 52.3180916302428,4.88502944382978 52.318090541552,4.88503504062324 52.318089148633,4.88504041801568 52.3180874620868,4.88504553508179 52.318085494749,4.88505035287755 52.3180832615923,4.88505483473662 52.3180807796126,4.88505894654931 52.318078067699,4.88506265702227 52.318075146491,4.88506593791656 52.3180720382208,4.88506876426269 52.3180687665441,4.88507111455049 52.3180653563606,4.88507297089296 52.3180618336238,4.88507431916234 52.3180582251438,4.88507514909758 52.3180545583833,4.88507545438249 52.3180508612488,4.88507523269383 52.3180471618775,4.88507448571888 52.3180434884239,4.88507321914272 52.3180398688453,4.88507144260489 52.3180363306887,4.88506916962599 52.3180329008817,4.88506641750487 52.3180296055272,4.88506320718694 52.3180264697047,4.88505956310466 52.3180235172797,4.88505551299179 52.3180207707219,4.8850510876721 52.3180182509342,4.88504632082497 52.3180159770938,4.88504124872894 52.3180139665058,4.88503590998565 52.3180122344721,4.88503034522612 52.3180107941743,4.88502459680143 52.318009656574,4.88501870846044 52.3180088303291,4.88501272501688 52.3180083217277,4.88500669200824 52.3180081346406,4.88500065534921 52.3180082704915,4.88499466098229 52.3180087282467)))","490641",{34DFD7B2-B069-442D-930A-DEFB30BB1BA6},Sportpark 't Loopveld,Sportpark 't Loopveld 01,Sportveld (begroeid),Gras- en kruidachtigen,SPZ-LOO-GOLF-02,Golf,2011,Gras,161.73955,52.41912
"MULTIPOLYGON (((4.85425282657466 52.3310743268025,4.85400112216244 52.3310683960145,4.85398150151741 52.3313987892648,4.85423489593806 52.3314044370044,4.85425282657466 52.3310743268025)))","494933",{378600BD-D65B-4858-AC49-72012A45F3F1},Sportpark Amstel (Tennispark),Sportpark Amstel (Tennispark),Sportveld (verhard),Halfverharding,SPZ-AMSTEL-12,Tennis,0,Gravel,633.39391,107.98944
