WKT,id,id2,sportpark,sportparkFunctioneleNaam,objecttype,objectsubtype,veldindeling,sportfunctie,jaarVanActiviteit,soortOndergrond,oppervlakte,omtrek
"MULTIPOLYGON (((4.90987971391258 52.4157107301267,4.90983186572585 52.4156347088181,4.90990839382025 52.4156149747201,4.90990498531437 52.4156093706905,4.90975879700331 52.4156444086473,4.90975733198457 52.4156446969972,4.90975587813508 52.4156450057606,4.90975443621554 52.4156453347758,4.90975300749986 52.4156456837397,4.90975159220625 52.4156460525862,4.90975019107464 52.4156464411225,4.90974595412628 52.4156477443501,4.90974187034143 52.4156492191004,4.90973795826466 52.4156508586765,4.90973250269816 52.4156535818711,4.90972751952453 52.4156566248081,4.90972305863793 52.4156599570202,4.90972075700052 52.4156621227491,4.90971785387998 52.415665544321,4.90971693665774 52.4156673430009,4.90971625012806 52.4156691797304,4.90971579841914 52.4156710434651,4.90971558424721 52.4156729229981,4.90971560885641 52.4156748064564,4.90971587199779 52.4156766830897,4.90971637209002 52.4156785416205,4.90971710612784 52.41568037088,4.90980566717488 52.4158234511264,4.90979356808047 52.4158263682924,4.90968406394647 52.4158535100383,4.9096610729751 52.415860526588,4.90965700110194 52.4158564657485,4.90963975103638 52.4158613394151,4.90960544332067 52.4158259696672,4.90956222555276 52.4157894854776,4.9095607252164 52.4157882211629,4.90951568415453 52.415753167625,4.90967972024574 52.415712395895,4.90966394737367 52.4156893240214,4.9096612967526 52.4156874653422,4.9096583936134 52.4156857535159,4.90965525963189 52.4156842013236,4.9096519182074 52.4156828203544,4.90964839428812 52.4156816209192,4.90964471418478 52.4156806119732,4.90964090537421 52.4156798010496,4.90963699629423 52.4156791942031,4.90963301641958 52.4156787959854,4.90962899518295 52.4156786093186,4.90962496260385 52.4156786355959,4.90962094878649 52.4156788746213,4.90961698369498 52.4156793246103,4.90961309692975 52.4156799822037,4.90960931750644 52.4156808424923,4.9096056736394 52.415681899054,4.90954791098468 52.4156952375199,4.90953572375991 52.4156974234096,4.90952326819306 52.4156989418836,4.90951064184012 52.4156997810488,4.90949794359473 52.4156999343325,4.90948411075067 52.4156993169161,4.9094704399823 52.4156978858912,4.90945705897983 52.4156956546243,4.90944409272693 52.4156926439561,4.90942863358637 52.4156881956638,4.90942118569762 52.4156973330042,4.90939966292648 52.4156895168632,4.90937950369981 52.4156779314165,4.90936460634497 52.4156677333047,4.90936133589244 52.4156656889136,4.90935763012157 52.4156631214848,4.90935385922091 52.4156625041069,4.90934840186609 52.4156778778908,4.9093421782328 52.4156947944547,4.90934452183703 52.415696915997,4.90977210421431 52.4160462987256,4.90999067433548 52.4162237859155,4.91000236321172 52.4162303040765,4.91008382541328 52.4162138252788,4.91065419010501 52.4160753654829,4.91074789660166 52.4160560863986,4.91095659630428 52.4160131377339,4.9111122378505 52.4159875193576,4.91144243189739 52.4159135563381,4.91144284122316 52.4159134616577,4.91144324894711 52.4159133644276,4.91144365502679 52.4159132646578,4.91144406462177 52.4159131610238,4.91144447244261 52.415913054806,4.91144487844573 52.4159129460159,4.91144911435701 52.4159116687605,4.91145314315491 52.4159101616583,4.911456931571 52.4159084371545,4.91146044832193 52.4159065094893,4.91146366436763 52.4159043945807,4.91146655315117 52.415902109893,4.91146909081803 52.4158996742922,4.91147125641314 52.4158971078908,4.91147297576184 52.415894528693,4.91147431917812 52.4158918673513,4.91147527634319 52.4158891443075,4.91147583990505 52.4158863804775,4.91147600553506 52.4158835970904,4.91147577196107 52.4158808155256,4.91147514097726 52.4158780571484,4.9114741174303 52.415875343146,4.91147270918219 52.4158726943649,4.91116326020984 52.4153826508942,4.91118446289681 52.4153778647866,4.91117079676508 52.4153542802955,4.91113850704144 52.4153033884911,4.9111190435692 52.4153077321976,4.91111995427849 52.4153091559007,4.91105983075327 52.4153234293163,4.91109824051217 52.4153792799367,4.9110793038106 52.4153838414563,4.91126560531588 52.4156892252737,4.91081928617918 52.4157966132884,4.91077861151487 52.4157326825939,4.91076850206366 52.4157351135403,4.91071953720622 52.4156589083526,4.91070056872674 52.4156636763992,4.91069870906052 52.4156643903053,4.91069696544624 52.4156652063977,4.9106953528543 52.4156661176694,4.91069388513015 52.4156671162967,4.91069257487548 52.4156681937051,4.91069143333991 52.4156693406445,4.91069047032449 52.4156705472673,4.9106897536256 52.4156716929982,4.91068919798104 52.4156728716897,4.91068880737303 52.4156740748941,4.91068858460102 52.4156752939886,4.9106885312616 52.4156765202357,4.91068864773707 52.4156777448472,4.91068893319267 52.4156789590466,4.91068938558259 52.4156801541318,4.91069000166464 52.4156813215379,4.91077343498955 52.4158094609829,4.91079037369895 52.4158335260321,4.91079179929991 52.4158346896573,4.9107933918835 52.4158357692844,4.91079513827994 52.4158367559858,4.91079702404749 52.4158376416021,4.91079903359185 52.4158384188093,4.91080115029524 52.4158390811806,4.91080335665363 52.4158396232385,4.91080563442165 52.4158400405004,4.91080796602109 52.4158403296359,4.91081033094881 52.415840487994,4.91081270962719 52.415840514264,4.91081508236483 52.4158404082284,4.91081742951946 52.415840170765,4.91081973166062 52.4158398038395,4.91082196973049 52.4158393104896,4.91082412520164 52.4158386947992,4.9111938225745 52.4157502594432,4.91120525677604 52.4157681727635,4.91119165336997 52.4157715693603,4.91123422341145 52.415838365587,4.91106650513671 52.4158785584497,4.91090043699982 52.4159183622534,4.91085735304871 52.415851554853,4.91083371098743 52.4158562591943,4.91082386268602 52.415857639644,4.91081884628328 52.4158580239185,4.91080718759341 52.4158582646482,4.91080329617014 52.4158581330504,4.91079942399043 52.4158578625418,4.91079558430561 52.4158574540482,4.91079082350852 52.415856746927,4.91078616056974 52.4158558277937,4.91078162070539 52.4158547016185,4.91077736873176 52.4158532078707,4.91077335834723 52.415851482305,4.91076962325642 52.4158495394237,4.91076610469632 52.415847333592,4.91076294122977 52.4158449350908,4.91076016093294 52.4158423652069,4.91075941973893 52.4158415803038,4.91073963421855 52.4158088756888,4.91073850334709 52.4158076191588,4.91073720515644 52.4158064246241,4.91073574867803 52.4158053003952,4.91073414404446 52.4158042542931,4.91073240241897 52.4158032935954,4.91073053591793 52.4158024249857,4.9107285575264 52.4158016545068,4.91072648100785 52.4158009875188,4.91072432080842 52.4158004286619,4.91072207451032 52.4157999788167,4.91071977436494 52.4157996459048,4.9107174366222 52.4157994322785,4.91071507779766 52.4157993394469,4.9107127145558 52.4157993680657,4.91071036359232 52.4157995179329,4.91070804151617 52.4157997879896,4.91068776764876 52.4158042901437,4.9107380806019 52.4158849945721,4.91072542283008 52.4158879275619,4.91067366629391 52.4158075139139,4.91065952726037 52.4157855452351,4.91060688927142 52.4157037439171,4.9105676819989 52.4156428119273,4.91001863752259 52.4157742839115,4.90996429908609 52.4156894376409,4.90987971391258 52.4157107301267)))","2149386",{A69D0EFE-B11B-48CB-8D54-52C11D7DC54D},Sportpark Kadoelen,Sportpark Kadoelen 01,Sportveld (begroeid),Gras- en kruidachtigen,SPN-KAD-97,Tennis,1998,Gras,4900.33156,678.80257
"MULTIPOLYGON (((4.86841728227964 52.3588828316204,4.86840773237473 52.3588798889868,4.86824469397826 52.3588299754145,4.86816310036586 52.3588051170826,4.8680256930586 52.3589685409442,4.86790627378645 52.3591126300176,4.86816529801915 52.3591931641611,4.86841728227964 52.3588828316204)))","2152143",{7C218B2A-41C6-4EE4-8037-C50857734BB6},Sportpark Vondelpark (Tennis Festina),Sportpark Vondelpark (Tennis Festina),Sportveld (verhard),Halfverharding,SPZ-VOND-08,Tennis,0,Gravel,754.58495,116.13449
"MULTIPOLYGON (((4.85125483480344 52.3179196055179,4.8498118498299 52.3179126818525,4.84980548580369 52.3184339472403,4.85124812399532 52.3184406266863,4.85125483480344 52.3179196055179)))","2158391",{E838BAC0-1585-4B10-ACC8-AAF3463C9569},Sportpark Amsterdamse Bos,Sportpark Amsterdamse Bos 03,Sportveld (verhard),Kunststofverharding,SPZ-AMSTER-14,Hockey,2016,Kunstgras — semi-water,5704.74133,312.73402
"MULTIPOLYGON (((4.95315080824539 52.3458015795967,4.95334558768093 52.3456800727355,4.95304145136578 52.3454974556743,4.95284667190198 52.3456189620391,4.95315080824539 52.3458015795967)))","2183776",{A39C4A7F-5283-4AC4-BFA1-4320CBD2A5CC},Sportpark Middenmeer-Voorland,Sportpark Middenmeer-Voorland 04,Sportveld (verhard),Kunststofverharding,SPO-MIDD-60,Hockey,0,Kunstgras — zand,549.8705,95.93841
"MULTIPOLYGON (((4.88886574328191 52.3212257422967,4.88888838769976 52.3206597498507,4.88744646003065 52.3206380917433,4.8874238880801 52.3212038326174,4.88878334107739 52.3212244874062,4.88886574328191 52.3212257422967)))","2261875",{7C46635C-3BB8-4312-A92E-2C35E057B750},Sportpark 't Loopveld,Sportpark 't Loopveld 01,Sportveld (verhard),Kunststofverharding,SPZ-LOO-10,Voetbal,2013,Kunstgras — rubber,6193.31736,322.63653
"MULTIPOLYGON (((4.80544143379266 52.3395401119397,4.80544945790892 52.3395350844059,4.80545695764849 52.3395301184327,4.80545939868147 52.3395276290117,4.80545994406547 52.3395259640787,4.80546080861225 52.3395239158807,4.80546135567687 52.339522122678,4.80546169584879 52.339520136041,4.80546193131378 52.3395181488895,4.80546195400359 52.3395164172479,4.80545978289147 52.3395142899876,4.80545626067489 52.339511386417,4.80545169811331 52.33950796462,4.80446048139974 52.3389067778738,4.80445595777979 52.3389056436141,4.80445120177643 52.3389049252034,4.80444575591947 52.3389048983848,4.80444144096737 52.338905155131,4.80443711871779 52.3389059678326,4.80443324116764 52.3389074777134,4.80387902699583 52.3392490816238,4.8038688008066 52.3392559971314,4.80386502803028 52.3392590272301,4.8038639594534 52.3392614355139,4.80386288253179 52.3392644789017,4.80386284080865 52.3392676544215,4.80386342287503 52.3392707059874,4.80386462539318 52.3392738876406,4.80386789997819 52.3392772065373,4.80387097553463 52.3392798893076,4.80485341418271 52.3398773137628,4.80485929463083 52.3398803646712,4.80486552246995 52.339882007036,4.80487274491735 52.3398830499008,4.80487899125351 52.3398832821032,4.8048859112306 52.3398823088321,4.80490316166081 52.3398711116951,4.80544143379266 52.3395401119397)))","2320897",{F29A9260-1E66-4A8E-A6C6-C344C7C12EC8},Sportpark Sloten,Sportpark Sloten 02,Sportveld (verhard),Kunststofverharding,SPW-SLO-12B,Hockey,2019,Kunstgras — water,5683.22752,309.2901
"MULTIPOLYGON (((4.93501912485862 52.3898263658595,4.93477145168237 52.3898660082563,4.93491143459396 52.3901847913453,4.9351576205508 52.3901432980593,4.93501912485862 52.3898263658595)))","2337722",{B82FBC3E-620D-499C-80B8-D26B46343AA5},Sportpark W.H. Vliegenbos,Sportpark W.H. Vliegenbos,Sportveld (verhard),Halfverharding,SPN-VLIE-11,Tennis,0,Gravel,637.28259,108.04053
"MULTIPOLYGON (((4.86536860645058 52.3489968728279,4.86515180586313 52.3496047497159,4.86539194911108 52.3496371310428,4.86638689498452 52.3498920652166,4.86642597883882 52.349790810247,4.86667921973879 52.3498253587071,4.86690137973352 52.3492047292822,4.86536860645058 52.3489968728279)))","2357936",{5C6C729F-6297-4113-8404-7EA9E2FE10B0},Sportpark Olympiaplein,Sportpark Olympiaplein,Sportveld (verhard),Kunststofverharding,SPZ-OLYM-03,Voetbal,2018,Kunstgras — kurk,7900.2112,366.38853
"MULTIPOLYGON (((4.85673795644875 52.3763149067276,4.85679314968127 52.3761404656891,4.85674397094508 52.3761337411426,4.85638112861418 52.3760911849998,4.85633898733481 52.3761347726176,4.85632754901562 52.3761749571436,4.85629660160297 52.3762638248738,4.85673795644875 52.3763149067276)))","2369114",{23768AB4-3B39-469B-BA3B-578953A4736C},Sportpark Joos Banckersweg,Sportpark Joos Banckersweg,Sportveld (verhard),Kunststofverharding,SPW-JOOS-04,Tennis,2005,Kunstgras — zand,601.65708,99.22957
"MULTIPOLYGON (((4.95552916811415 52.3467962310958,4.95654726889005 52.3461689118717,4.9559450694291 52.3458003437559,4.95575161696581 52.3459196517978,4.95573487452892 52.3459299805742,4.95492798156383 52.3464276255927,4.95495374495933 52.3464434302189,4.95552916811415 52.3467962310958)))","2380612",{9A2ED905-5731-4A47-86EE-A393BE1C9501},Sportpark Middenmeer-Voorland,Sportpark Middenmeer-Voorland 04,Sportveld (verhard),Kunststofverharding,SPO-MIDD-30,Hockey,2011,Kunstgras — semi-water,5705.38611,312.75097
"MULTIPOLYGON (((4.95270861132613 52.3471443118523,4.95279635322283 52.3470899716376,4.95272921575944 52.3470470986759,4.95263859318338 52.3471029327313,4.95270861132613 52.3471443118523)))","2398526",{C036332F-61A1-433C-A325-782AD0A8D0C9},Sportpark Middenmeer-Voorland,Sportpark Middenmeer-Voorland 04,Sportveld (verhard),Onverhard,SPO-MIDD-54,Atletiek,0,Zand,57.12466,30.50187
"MULTIPOLYGON (((4.78694782793684 52.3823813814178,4.78696231008445 52.3821122983509,4.78652169551916 52.3821035389754,4.78650722538704 52.3823726220592,4.78694782793684 52.3823813814178)))","2404691",{1DD087BE-7658-4DB2-B9DC-034B5E59A4EE},Sportpark De Eendracht,Sportpark De Eendracht 01,Sportveld (verhard),Asfaltverharding,SPW-EEND-10,Basketbal,2015,Asfalt,899.14008,119.94272
"MULTIPOLYGON (((4.93265519493396 52.3392696029113,4.93248521089824 52.3393762423242,4.93287949299996 52.3396053841064,4.93304266432859 52.3395033096143,4.93265519493396 52.3392696029113)))","2416165",{0C25FD5B-99DC-41E4-9E1C-81249493A64B},Sportpark Drieburg,Sportpark Drieburg 02,Sportveld (verhard),Halfverharding,SPO-DRIE-21,Tennis,2014,Gravel,601.63272,106.5799
"MULTIPOLYGON (((4.87965383326953 52.4228992525558,4.87992113026352 52.4229076625738,4.8802653518037 52.4229442520048,4.88057706098573 52.422982986454,4.88083678407385 52.4221644478011,4.88087596506322 52.4220289933718,4.88056546109012 52.4219889171236,4.88020736899997 52.4219534801007,4.87993816649615 52.4219390080053,4.87965383326953 52.4228992525558)))","2462168",{243D7000-D86E-4F4F-AD7E-EBC46B570C21},Sportpark Oostzanerwerf,Sportpark Oostzanerwerf,Sportveld (begroeid),Gras- en kruidachtigen,SPN-OOST-02,Voetbal,2009,Gras,6934.76873,344.91686
"MULTIPOLYGON (((4.79565159940365 52.3696884546401,4.79565555879807 52.3695941490933,4.79565693046753 52.3695364364375,4.79536864071307 52.3695315713096,4.79511841680588 52.3695273452428,4.79511232299427 52.36968007543,4.79565159940365 52.3696884546401)))","2472452",{B03AAE6C-148F-43F9-B0A3-1B95D2566ACD},Sportpark Ookmeer,Sportpark Ookmeer 02,Sportveld (verhard),Halfverharding,SPW-OOK-41,Tennis,2013,Gravel,622.99634,107.34684
"MULTIPOLYGON (((4.95352227869488 52.3584714726336,4.95379270576507 52.3584632476812,4.95376238690036 52.3581338623891,4.95349313536125 52.3581410281072,4.95352227869488 52.3584714726336)))","2559107",{521A8F48-17E4-404A-B8E7-20E939C27AC8},Sportpark Valentijnkade (Tie Breakers),Sportpark Valentijnkade (Tie Breakers),Sportveld (verhard),Halfverharding,SPO-VALE-12,Tennis,2015,Gravel,676.50923,110.33225
"MULTIPOLYGON (((4.93244108521681 52.3396193077972,4.93205334090706 52.3393882741512,4.9318678091522 52.3395079765034,4.93225246262022 52.3397408803704,4.93244108521681 52.3396193077972)))","2601638",{9B8E7F01-7AFD-42C6-A160-58AEAD0E18C4},Sportpark Drieburg,Sportpark Drieburg 02,Sportveld (verhard),Halfverharding,SPO-DRIE-23,Tennis,2014,Gravel,682.35381,110.75263
"MULTIPOLYGON (((4.85144919281848 52.3419040334571,4.85166035597205 52.3412776166839,4.85011746467737 52.3410720918746,4.84989753019475 52.3416976335178,4.85144919281848 52.3419040334571)))","2633458",{2BC80B32-5213-4909-B941-47D4DDA86721},Sportpark De Schinkel,Sportpark De Schinkel,Sportveld (verhard),Kunststofverharding,SPZ-SCH-02,Voetbal,2016,Kunstgras — rubber,7680.84478,358.17817
"MULTIPOLYGON (((4.86629579752638 52.3472791644919,4.86599901402147 52.3472385744916,4.86593597536423 52.3474138690423,4.86638048312128 52.3474728736679,4.8664407667095 52.3472989911022,4.86629579752638 52.3472791644919)))","2662485",{920DBE0C-9BB3-484D-96EF-055FE69CB729},Sportpark Olympiaplein,Sportpark Olympiaplein,Sportveld (verhard),Kunststofverharding,SPZ-OLYM-05,Voetbal,2015,Kunstgras — rubber,614.46712,101.58436
"MULTIPOLYGON (((4.95311833105502 52.3463617375228,4.95329546044276 52.3462518087249,4.95305046427049 52.3461004636915,4.95287005957041 52.3462103801071,4.95311833105502 52.3463617375228),(4.95297358015167 52.34617515423,4.9529674438522 52.346174630229,4.95296419061649 52.3461723615941,4.95295851523634 52.3461665736513,4.95296142773093 52.346161820193,4.95296555620237 52.3461583249178,4.95297131251674 52.346155838592,4.95298071185889 52.3461576282856,4.9529896870736 52.346160920889,4.95299333500872 52.3461646954375,4.95299411950182 52.346168208737,4.95297890498153 52.3461749230205,4.95297358015167 52.34617515423)))","2687140",{F1774BC3-6A43-4259-9CD8-218E472A7DA5},Sportpark Middenmeer-Voorland,Sportpark Middenmeer-Voorland 04,Sportveld (verhard),Halfverharding,SPO-MIDD-55,Atletiek,0,Gravel,407.10915,89.04915
"MULTIPOLYGON (((4.82926174542742 52.3860366668942,4.82937502128487 52.3860371189854,4.82977063058793 52.3860389008907,4.82977697085729 52.3855240868977,4.8292685413076 52.3855219893218,4.82926174542742 52.3860366668942)))","2748441",{1ABD9ADA-0615-4BA9-9919-D89A3C33D471},Sportpark Spieringhorn,Sportpark Spieringhorn,Sportveld (verhard),Kunststofverharding,SPW-SPIERING-15,Voetbal,2016,Kunstgras — rubber,1983.40225,183.81242
"MULTIPOLYGON (((4.80297302215918 52.3702400905148,4.80312922447231 52.3699552628227,4.80212006982544 52.3697608236686,4.80197272169344 52.370044572051,4.80297302215918 52.3702400905148)))","2769648",{16EBC792-1575-4284-9B59-30F107175DD3},Sportpark Ookmeer,Sportpark Ookmeer 04,Sportveld (verhard),Kunststofverharding,SPW-OOK-30,Korfbal,2017,Kunstgras — zand,2388.70645,210.12554
"MULTIPOLYGON (((4.78524061225721 52.3802204184261,4.78487769974558 52.3802324470156,4.78485218527102 52.3812120388686,4.78558107959674 52.3812200133178,4.78589732503162 52.3812203076246,4.78590103912436 52.3811608061132,4.78592932355387 52.3802324554481,4.78524061225721 52.3802204184261)))","2826019",{E5F64AE0-7CE4-430F-A251-E11D2873B7B5},Sportpark De Eendracht,Sportpark De Eendracht 02,Sportveld (begroeid),Gras- en kruidachtigen,SPW-EEND-12,Voetbal,2012,Gras,7877.4835,361.77596
"MULTIPOLYGON (((4.95321493106295 52.3587278131472,4.95295539615544 52.3587365272202,4.95298241002086 52.3590662681971,4.95320620468481 52.3590587752048,4.9532289953008 52.3590580139079,4.95324267934334 52.3590575558801,4.95321493106295 52.3587278131472)))","2839621",{2BD31274-E831-4A7B-9763-323A3EAD5204},Sportpark Valentijnkade (Tie Breakers),Sportpark Valentijnkade (Tie Breakers),Sportveld (verhard),Halfverharding,SPO-VALE-03,Tennis,2017,Gravel,651.3828,108.93546
"MULTIPOLYGON (((4.90995848963918 52.4145810345409,4.90971819614544 52.4146382606632,4.9097582908294 52.4147012187435,4.90980799760099 52.4147792518278,4.9098220176322 52.4148012830488,4.90987155106273 52.4148790547647,4.90991187747354 52.414942373227,4.9101244084471 52.414891289692,4.91012567574701 52.4148909892155,4.91014667544436 52.4148859328476,4.91014904798086 52.4148853671922,4.91015292410928 52.4148844353542,4.90995848963918 52.4145810345409)))","2847747",{F9AC8A0F-08D0-40ED-880C-A016E17834F5},Sportpark Kadoelen,Sportpark Kadoelen 01,Sportveld (verhard),Halfverharding,SPN-KAD-15,Tennis,1982,Gravel,638.00698,107.73684
"MULTIPOLYGON (((4.86697555349121 52.3470820117163,4.86668503944753 52.3470425741798,4.86659023710792 52.3473043221349,4.86687817102994 52.3473427876122,4.86697555349121 52.3470820117163)))","2866663",{DCDE3787-874B-4787-966D-A334A9775246},Sportpark Olympiaplein,Sportpark Olympiaplein,Sportveld (verhard),Kunststofverharding,SPZ-OLYM-09,Voetbal,2015,Kunstgras — rubber,601.26875,99.95299
"MULTIPOLYGON (((4.80356930520227 52.337257630604,4.80359923074171 52.3372621739525,4.80362939266656 52.3372660870805,4.80365975561532 52.3372693654005,4.80380595701203 52.3372793078011,4.80387850863299 52.3372864924269,4.80392841236901 52.3372848676789,4.80397935861518 52.3372813773076,4.80402216131819 52.3372778467805,4.80405990706307 52.3372717969968,4.80410999092827 52.3372564542968,4.80414579083095 52.3372435355158,4.80419091338009 52.3372234223149,4.80447304560849 52.337048188369,4.80464643847215 52.3369325649388,4.80474898299261 52.3368686159698,4.80476908807199 52.3368545525197,4.80479042299825 52.3368373398684,4.8048038515812 52.3368193955939,4.80480757400634 52.3367942455805,4.80479657822145 52.3367704085402,4.8047658123843 52.3367455502823,4.80474069083792 52.3367313333391,4.8045899879154 52.3366458249073,4.80446100660876 52.3365690875393,4.8042376436245 52.336430603931,4.80392713933138 52.3362493915143,4.80384042520344 52.3361954116807,4.8037548244822 52.3361442558179,4.80370324006943 52.3361306133676,4.80366889060451 52.3361184651615,4.80362637843103 52.3361147323265,4.80359419980265 52.3361124597151,4.80355620520201 52.3361150908638,4.80352045548186 52.3361219608923,4.80348005851923 52.3361323311676,4.80344770388216 52.3361434457409,4.80341642534811 52.3361602027061,4.80339205743803 52.3361762891221,4.80335253268072 52.3362078027512,4.80271686860959 52.3368597864709,4.80330564858969 52.337207481054,4.8033990509176 52.3372281275757,4.80350978645461 52.3372465672458,4.80353938983086 52.3372524138175,4.80356930520227 52.337257630604)))","2903803",{F13CA119-1A5C-4C1D-ADEC-C422FB4CBEC4},Sportpark Sloten,Sportpark Sloten 02,Sportveld (begroeid),Gras- en kruidachtigen,SPW-SLO-08,Honkbal/softbal,2013,Gras,11225.14704,401.99322
"MULTIPOLYGON (((4.84439498675937 52.3387462055384,4.8443988152079 52.3385805469258,4.84386058093775 52.3385791813746,4.84385767230004 52.3387431874377,4.84439498675937 52.3387462055384)))","2938053",{4C905015-FABC-4F37-9A26-BD87807B9423},Sportpark Jaagpad,Sportpark Jaagpad,Sportveld (verhard),Halfverharding,SPZ-JAAG-10,Tennis,2018,Gravel,672.23905,109.98703
"MULTIPOLYGON (((4.79605637265929 52.3724549269316,4.7950575806812 52.3725534407264,4.79529172037645 52.3734406799735,4.79628697809284 52.3733437506238,4.79605637265929 52.3724549269316)))","3012689",{228DBC0D-D073-4A00-BF0F-6E482D211AAF},Sportpark Ookmeer,Sportpark Ookmeer 01,Sportveld (begroeid),Gras- en kruidachtigen,SPW-OOK-02,Golf driving range,1988,Gras,6880.91405,337.66032
"MULTIPOLYGON (((4.79439744798202 52.3668798524058,4.79441057849275 52.3668653991629,4.79440968563473 52.3668515356554,4.7943883276286 52.3668362497638,4.79436146478553 52.366829515706,4.79432149788663 52.3668352551467,4.79429653535775 52.366847669261,4.79428349301679 52.3668555233915,4.79427461289405 52.3668746175869,4.79426573276364 52.3668937117816,4.79427522346089 52.3669095982141,4.79429882574961 52.3669182958243,4.79432575919324 52.3669197506166,4.79435496337392 52.3669126373702,4.79437888315527 52.3668975782056,4.79439744798202 52.3668798524058)))","3012926",{6F277D15-FFE1-4243-8F5B-5F3201780D01},Sportpark Ookmeer,Sportpark Ookmeer 06,Sportveld (begroeid),Gras- en kruidachtigen,SPW-OOK-GOLF-05A,Golf,2015,Gras,69.4742,30.67025
"MULTIPOLYGON (((4.95467563264663 52.3452241463663,4.95406886503116 52.3448589042872,4.9530565301227 52.3454888659011,4.9536629704878 52.3458545882761,4.95467563264663 52.3452241463663)))","3056055",{BA5284BD-5CFF-439E-A4A9-6EB66DE384F4},Sportpark Middenmeer-Voorland,Sportpark Middenmeer-Voorland 04,Sportveld (verhard),Kunststofverharding,SPO-MIDD-32,Hockey,2011,Kunstgras — zand,5704.10677,312.7137
"MULTIPOLYGON (((4.91522495343636 52.4156966101626,4.91544168517495 52.4155972613467,4.91543626421377 52.4155928538064,4.91513673106982 52.4153490850514,4.91492297378176 52.4154493619058,4.91522495343636 52.4156966101626)))","3114240",{B01729E4-4FC8-4233-B619-3EA43ECBBC0B},Sportpark Kadoelen,Sportpark Kadoelen 03,Sportveld (verhard),Kunststofverharding,SPN-KAD-04,Tennis,2016,Kunstgras — keramisch zand (smashcourt),632.91424,105.63384
"MULTIPOLYGON (((4.84820859970808 52.3189074288966,4.84739983028818 52.3188953938559,4.84738029151543 52.3197130490227,4.84818593301183 52.3197263543052,4.84820859970808 52.3189074288966)))","3121710",{29C0036E-0FC5-4032-8D65-6DD40493DA1C},Sportpark Amsterdamse Bos,Sportpark Amsterdamse Bos 01,Sportveld (begroeid),Gras- en kruidachtigen,SPZ-AMSTER-06,Hockey,2005,Gras,5013.02478,292.2278
"MULTIPOLYGON (((4.85419181057344 52.3315651549006,4.85417802162406 52.3317502307149,4.85432113108583 52.3317535327812,4.85433057121227 52.3315693231949,4.85419181057344 52.3315651549006)))","3182219",{32654D54-CE1D-4E9D-B77B-0FD5E9AA2955},Sportpark Amstel (Tennispark),Sportpark Amstel (Tennispark),Sportveld (verhard),Halfverharding,SPZ-AMSTEL-01,Tennis,0,Gravel,640.02246,108.33796
"MULTIPOLYGON (((4.91651296184891 52.4148393313432,4.91567129095618 52.4152263851958,4.91661404294413 52.4160032078453,4.91746109744897 52.4156205425585,4.91651296184891 52.4148393313432)))","3187119",{792CE4EB-8E54-438E-A6B7-B32E71C64EFD},Sportpark Kadoelen,Sportpark Kadoelen 03,Sportveld (verhard),Kunststofverharding,SPN-KAD-01,Voetbal,2010,Kunstgras — kurk,7733.82352,359.17904
